Date,Tweet_ID,Tweet_ID_precision,Raw Text,Likes,Retweets
Mon Aug 12 23:18:22 +0000 2024,1823136977375449407,exact,Η φωτιά που κατακαίει χωρίς έλεος τη φύση και το βιός συνανθρώπων μας στην Αττική αφήνει πίσω της πληγές που δεν επουλώνονται με λόγια.   Κορυφαίο ζητούμενο να μη θρηνήσουμε απώλεια ζωής. Και φυσικά να βρεθεί φόρμουλα άμεσης αποκατάστασης των υποδομών και των ιδιωτικών https://t.co/Flyr0sadb4,4,0
Mon Aug 12 23:18:11 +0000 2024,1823136934023086210,exact,"@user Από που έχουν εμπειρία οι Παλαιστίνιοι σε δασικές πυρκαγιές ? Αν πάρει φωτιά η άμμος, θα τους φωνάξουμε.",2,0
Mon Aug 12 23:18:09 +0000 2024,1823136922077990913,exact,Συναγερμός στην Θεσσαλονίκη: Φωτιά στο πρώην στρατόπεδο ... https://t.co/H9NuxnvQk6 https://t.co/sumUlyPxuP,0,0
Mon Aug 12 23:18:01 +0000 2024,1823136890385584243,exact,Η #κηλίδωση μιας χώρας #Μητσοτακης #Πάτημα_Χαλανδρίου #Αστεροσκοπείο #Σταμάτα #Γραμματικο #Δέση_Γέρακα #Πεντέλη #ΤΕΡΝΑ #εκκένωση #εναέρια_μέσα #φωτια #ΝΔ_ΣΥΜΜΟΡΙΑ #ΝΔ_απατεωνες  #κυβερνηση_τσιρκο #Κικιλιας #εκκένωση  #Πυρκαγιες #Πεντέλη #πυροσβέστες #ζώα_φωτιά  #Μάτι #Χαλανδρι https://t.co/jfmLTdg2s4,0,0
Mon Aug 12 23:17:47 +0000 2024,1823136832567001108,exact,Είμαστε σίγουροι ότι έσβησε η φωτιά δω πάνω Ε;  Πολύ κάπνα ρε φίλε πωωω,2,1
Mon Aug 12 23:17:38 +0000 2024,1823136791953563739,exact,Η φωτιά πλησιάζει τα σπίτια στη Νέα Μάκρη πάνω από το Κέντρο Υγείας Νέας Μάκρης #112 #ΝεαΜακρη #Μαραθωνας  #φωτια #φωτιατωρα https://t.co/gJB460dGRz,1,0
Mon Aug 12 23:16:41 +0000 2024,1823136555617194073,exact,"@user Γίνεται και αυτό. Απλώς επειδή είναι κωλοζωα ή επειδή το κάνουν επίτηδες ξεχνάνε να πούνε ότι η φωτιά δεν καίει τα δέντρα αλλά την χαμηλή ξερή βλάστηση, τα χόρτα και τα ξερά φύλλα κλπ. Και μην σου πω ότι αυτό είναι και καλό γιατί καθαρίζεται και ανανεώνεται.",0,0
Mon Aug 12 23:16:41 +0000 2024,1823136552836268318,exact,"https://t.co/yY39fqz1O1  #φωτια #πυρκαγια  Μπήκε στην πόλη η φωτιά, με μία νεκρή σε επιχείρηση που καιγόταν",0,0
Mon Aug 12 23:16:17 +0000 2024,1823136455033512166,exact,ΕΚΤΑΚΤΟ: Φωτιά στον πυρηνικό σταθμό Ζαπορίζια μετά από βομβαρδισμό των Ουκρανοναζί https://t.co/aoSFx51Elu,0,0
Mon Aug 12 23:15:45 +0000 2024,1823136319192601006,exact,"@user Ναι, αυτό το ξέρω απλά έχω μάθει ότι αυτή τη στιγμή υπάρχουν δεκάδες μέτωπα και όχι μια φωτιά",0,0
Mon Aug 12 23:15:37 +0000 2024,1823136286749647096,exact,ΕΜΕΙΣ ΛΕΓΑΜΕ ΓΙΑ ΜΟΜΑ..... #Αττική #Φωτιά https://t.co/liMNYFKc8I,0,0
Mon Aug 12 23:15:12 +0000 2024,1823136182571602410,exact,Όλα εδώ πληρώνονται! - Κάηκε το σπίτι του άνδρα που καταδικάστηκε για τη φωτιά στο Μάτι - #loutrakiblog -  https://t.co/QVVTXzWKst https://t.co/6KSyvpAD2C,0,0
Mon Aug 12 23:14:58 +0000 2024,1823136121208893907,exact,Ρε μάγκες πήραμε  #φωτια Δεν πειράζει στείλαμε όπλα σε Ισραήλ Ουκρανία,3,1
Mon Aug 12 23:14:42 +0000 2024,1823136055102775584,exact,Πάμε τώρα: Στο Μάτι είχαμε ένα ακραίο καιρικο φαινόμενο ( άνεμοι ταχύτητας 190χλμ) που εξελίχθηκε αστραπιαία (μέσα σε 50’) σε μια πολεοδομική ποντικοπαγίδα! Στην τραγωδία στο Χαλάνδρι είχαμε μια φωτιά που εξελισσόταν αργά επι 24 ώρες και διήνυσε απόσταση 40χλμ με μέτριο άνεμο . https://t.co/hWXKdlFjCF,666,185
Mon Aug 12 23:14:36 +0000 2024,1823136031736009002,exact,#φωτια  συστήνεται ομάδα εθελοντών για εύρεση τραυματισμενων μη ανθρωπίνων ζώων κ καταγραφή  https://t.co/wRYbLxWfo8 https://t.co/wH0gATaGED,6,23
Mon Aug 12 23:14:36 +0000 2024,1823136030637097104,exact,"Ήρεμα ρωτάω... φεύγετε ""διακοπαρες""...Αυγούστο μηνα και τα ζωακια σας τα αφήνετε στις.. αυλες? 🤔🤔🤔🤔🤔🤔🤔 #φωτια",8,0
Mon Aug 12 23:14:28 +0000 2024,1823135997019713628,exact,"Η ατάκα ότι ""τα σπίτια ξαναγίνονται"" είναι μια μπαρούφα που προκαλεί τους πυρόπληκτους! Σήμερα κανένα σπίτι δεν ξαναγίνεται με τα κουτσουρεμένα, αρχικά από την κρίση και μετά από τον πληθωρισμό, εισοδήματα. #φωτια #πυρκαγιά",29,2
Mon Aug 12 23:14:11 +0000 2024,1823135926484381930,exact,Τώρα μάλιστα. Χάρηκα αφού δεν έχω αυτοκίνητο...   #Κασσελακης #Φωτια_τωρα #Αττική #ΣΥΡΙΖΑ_ΠΣ #ΣΥΡΙΖΑ https://t.co/V2qfOZqgrO,1,0
Mon Aug 12 23:14:09 +0000 2024,1823135916711375245,exact,"Τώρα θα βγουν να μας πουν αυτά κάνει η κλιματική αλλαγή, του χρόνου τα ίδια!!  #φωτια",5,1
Mon Aug 12 23:14:05 +0000 2024,1823135901276606684,exact,Είμαι στη Βονιτσα και βρωμάει καμμένο. Δυστυχώς για αυτούς δεν μπορούν να αγνοήσουν τόσο εύκολα τη φωτιά στην Αττική όπως στην επαρχία,3,0
Mon Aug 12 23:13:44 +0000 2024,1823135811253977428,exact,Φωτιά στην Αττική: Βρέθηκε απανθρακωμένη σορός γυναίκας σε κτήριο επιχείρησης στα Βριλήσσια https://t.co/nVS48DgMhe https://t.co/LCugm3B7il,1,1
Mon Aug 12 23:13:22 +0000 2024,1823135719633592349,exact,@user πηγαιντε καμια βολτα μωρε κ αφηστε τις δηλωσεις.. η φωτια θα σβησει στη θαλασσα οπως παντα με κυβερνηση ΝΔ,0,0
Mon Aug 12 23:13:19 +0000 2024,1823135706337730981,exact,@user @user @user Είναι δίκη του δουλειά να σβήσει την φωτιά η της πυροσβεστικής που δεν έχει ο Μητσοτάκης?,0,0
Mon Aug 12 23:12:51 +0000 2024,1823135590985937337,exact,Εννοείται  Με τον λαστιχοσωλήνα της αυλής και τον κουβά σβήνουν τόσο μεγάλες φωτιές  Τι να κάνει η πυροσβεστική και η ρίψη νερού από τα αεροπλάνα;,6,0
Mon Aug 12 23:12:51 +0000 2024,1823135588846842193,exact,Δηλαδή φωτιά διένυσε 23 χλμ. (περισσότερο λόγω ανάγλυφου) σε μια νύχτα και άρχισε να καίει την πρωτεύουσα ΚΑΙ Ο ΑΡΜΟΔΙΟΣ ΕΙΝΑΙ ΣΤΗ ΘΕΣΗ ΤΟΥ; #Κικιλιας #κυβερνηση_Μητσοτακη #Σταματα #Πεντέλη #Πυρκαγιες #Βριλησσια #Βαρνάβας #Μαραθωνας #Ροδόπολη https://t.co/fKmX2Jl5xM,43,24
Mon Aug 12 23:12:50 +0000 2024,1823135585793438121,exact,"@user Καίγεται το Σύμπαν και εσύ το βιολί σου.  Περιμένεις άραγε να σε θεωρήσει κανείς άτομο με, στοιχειώδη έστω, νοημοσύνη ;;;;",10,0
Mon Aug 12 23:12:48 +0000 2024,1823135576310129134,exact,Ο #Μητσοτάκης ζει το δικό του Μάτι. #φωτια #φωτιες #φωτια_πεντελη #φωτ,3,0
Mon Aug 12 23:12:36 +0000 2024,1823135528125890777,exact,@user Αυτοί που βάλανε φωτιά σε κεντρικοτατο μπορεί να ήταν και δικοί τους. Show για να το ρίξουν στους πολίτες κτλπ . Φαντάζεσαι να ειχαν προσχεδιάσει και το Ματι για να γινουν κυβερνηση; Τι αλλο μας εχουν ετοιμάσει;,0,0
