Date;Tweet_ID;Raw Text;Likes;Retweets;is_fire;is_wildland;is_urban
Mon Aug 12 22:14:24 +0000 2024;1,82E+18;;3;0;;;
Mon Aug 12 22:14:01 +0000 2024;1,82E+18;;4;7;;;
Mon Aug 12 22:13:59 +0000 2024;1,82E+18;;2;0;;;
Mon Aug 12 22:13:45 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 22:13:39 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:13:38 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 22:12:53 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:12:26 +0000 2024;1,82E+18;;9;1;;;
Mon Aug 12 22:12:20 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:12:17 +0000 2024;1,82E+18;;2;0;;;
Mon Aug 12 22:12:16 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 22:12:13 +0000 2024;1,82E+18;;1;0;;;
Mon Aug 12 22:12:06 +0000 2024;1,82E+18;;0;0;;;
Mon Aug 12 22:11:58 +0000 2024;1,82E+18;;1;1;;;
Mon Aug 12 22:11:49 +0000 2024;1,82E+18;;0;0;;;
